That’s a wrap. #SpotifyWrapped,2021-12-02 15:49:00,What about red and blue by B double E Still my go to game day jam!,Very creative!,Pamela Crawford I like that last song! 😉,Amy Jo Herrera the Crunchy Chicken Cheddar Wrap 🤣,Crimson (Taylor’s Version) 😂😂🤣😂😁😂🤣 that’s funny s***,Joseph David,This is great 👏👏,Someone at KU is being very creative.,Grant Laws Stewart,Bravo to the SMM 🤣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KU aerospace engineering student teams recently won top awards in international competitions for aircraft and missile designs::: continuing a 40-year tradition of excellence.  NEWS.KU.EDU KU aerospace engineering claims top honors in international competitions,2021-11-10 20:12:03,KU. Home of mighty JayHawks and producer of world class students. Simply the best.,Need an original essay? 🤔 Order here and get a discount! 👇 https:// writepaperfor.me / place-new-order? rt=kyh1QMik&dis count=ORIGINAL,rock chalk Jay Hawk..K.Uoooooo oooo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
📚💨 How fast are your research skills? For 30+ years::: first-year law students have participated in the Bluebook Relays — a race to see who’s fastest at finding and properly citing references in KU’s Wheat Law Library. 📷: 2021 Bluebook Relays,2021-11-10 17:06:28,I can’t find a bottle of ketchup in the fridge under pressure::: much less a citation in a library.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congrats to Sarah Jen::: assistant professor of social welfare::: and Jonathan Hagel::: assistant teaching professor of history::: who have received the 2021 HOPE (Honor an Outstanding Progressive Educator) Awards.  NEWS.KU.EDU 2021 HOPE Awards,2021-11-09 19:22:01,Congratulations to both of you!,✹🅼🅰🆃🅲🅷🅳🅰🆈 SIUE vs. Kansas | Ncaa Women's Basketball 2021 🎫 Livestream : http:// month.sport-netw ork4k.com/ ncaa.php ⏰ 8:00 PM EST Please like and share::: Thank You,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At the KU School of Law’s 2021 Kansas Law Review Symposium on Nov. 15::: a panel of judicial ethics experts will gather online to discuss judicial conduct and misconduct.  NEWS.KU.EDU 2021 Kansas Law Review Symposium,2021-11-09 17:16:03,"""The reality of subjective judicial decisions driven by the biases of judges is a perennial problem::: because that bias is almost always exercised on behalf of the upwardly mobile::: middle-class::: bourgeois and polite society from which the majority of judges come and which most judges continue to live."" — Kansas Supreme Court Justice Caleb Stegall::: speaking during the University of Kansas’ Law Review symposium on judicial conduct and misconduct https:// kansasreflector. com/2021/11/16/ supreme-court-ju stice-stegall-w ary-of-judicial -bias-among-bou rgeois-polite-s ociety/ ?eType=EmailBlas tContent&eId=f6 55c5c1-43fc-46d 9-b3bb-21cfafe1 7c0c",Speaking of unethical.....s ad when you have a professor of law speaking out against constitutionall y protected speech and referencing the university. https:// www.thekansan.co m/story/ opinion/2021/11/ 12/ comparing-covid- 19-vaccine-mand ates-holocaust- crossing-line/ 6296243001/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KU will host and participate in several events running Nov. 6-14 to honor veterans. Activities planned for Veterans Day::: Nov. 11::: include a free breakfast at the Burge Union and a traditional wreath-laying ceremony at the campanile.  NEWS.KU.EDU KU announces events in honor of Veterans Day,2021-11-08 19:45:02,Always grateful 💙❤️,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
⛲️ + 🍂 = 😍,2021-11-08 17:12:14,⛲️+🧼 = 😂,Where’s the soap suds,Love that fountain!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
These F-16 fighter pilots helped us settle a yearslong debate: YES::: Jayhawks can definitely fly.,2021-11-05 21:23:02,Watched them as they flew over the Stadium!! It was a Rock Chalk experience times a thousand! Outstanding!!,Love it!! Rock Chalk Jayhawk pilots!!,Way to go::: flying Jayhawks! I might need one of those shirts…,Yes Sir Go Jayhawks!,To the rim yes::: to the end zone? No!,Rock Chalk Jayhawks,So cool!!! We are Kansas!,They can SOAR!,Awwww Jennifer Commerford Wright - Steve is not among them 😂,We fly highest!,💙❤️💙❤️💙❤️,Patrick McKenzie!,Jo Hufford,❤💙❤💙❤💙❤💙,RCJH!,RCJH!,Nicholas Evenson,💙❤️,Can they play football? Haha,Love it!!💙❤️💙❤️,Yes sir!!!,THANK YOU FOR YOUR SERVICE! My Dad flew P-47 fighters in WW2... Things have come a long way!,Awesome!,Need this shirt!,Love the shirt. Need!,Here is all details👇👇 https:// sites.google.com /view/fhvxgvcf/ home,University of Kansas 🆚 University of New Mexico | American Collegiate Hockey Association (ACHA) 📆 Sunday::: November 07::: 2021 ⏰ 𝐈𝐓'𝐒 𝐆𝐀𝐌𝐄𝐃𝐀𝐘 Watch ON : www.sportscente r.oyageuy.com/ hockey.php,🚨𝙂𝘼𝙈𝙀 𝘿𝘼𝙔🚨 University of Kansas 🆚 University of New Mexico 📆 Sunday::: November 7 2021 📍 Jordan Valley Ice Park - Springfield::: MO 🔗 http:// blacksports.oyag euy.com/ hockey.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step outside about 2:30 p.m. today and you’ll spot them — two A-10 Warthogs buzzing the KU campus. Piloted by Jayhawks::: the two military jets will practice today for their flyover Saturday following the national anthem and just before the 11 a.m. kickoff of the KU vs. K-State football game.  NEWS.KU.EDU Military aircraft to fly over Lawrence campus Friday::: Saturday,2021-11-05 18:05:12,Trevor Freeman,I miss living in Lawrence so much,I saw them.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step outside about 1:30 p.m. today and you’ll spot them — two A-10 Warthogs buzzing the KU campus. Piloted by Jayhawks::: the two military jets will practice today for their flyover Saturday following the national anthem and just before the 11 a.m. kickoff of the KU vs. K-State football game.  NEWS.KU.EDU Military aircraft to fly over Lawrence campus Friday::: Saturday,2021-11-05 17:55:50,Is it 1:30 or 2:30?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In his new book::: “A Theory of Prudence:::” Dale Dorsey::: KU professor of philosophy::: examines the positive effect of making critically considered decisions based on your own interests — self-interests that change over time.  NEWS.KU.EDU Theory of prudence,2021-11-05 15:39:02,In this picture he looks like Austin Powers giving a Ted talk,Have him as my professor.,congratualation from M'sila university https:// www.univ-msila.d z/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
School closings and restrictions on public gatherings were among key factors in curtailing the spread of COVID-19 in Lawrence and Douglas County::: according to a KU Life Span Institute center’s new analysis of local public health care measures.  NEWS.KU.EDU How a KU center appraised the local response to COVID-19,2021-11-04 16:20:02,Would be as interesting to discover the adverse affects the ‘shots’ have had across humanity. Research is so important!,Can we quarantine KU football 🏈 for the season?,M'sila university https:// www.univ-msila.d z/ wish good year with COVID conditions,Don’t know where to find an original essay?🤔 Get a discount💰 & order from the best experts🎓 on the market!➡️ https:// speedypaper.com/ order?discount=N OPLAGESSAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🥰 No fashion faux paws for Frances the corgi. It’s officially sweater weather in Kansas. 📸: Hadley Oehlert,2021-11-03 16:08:13,Stephanie Iseman,Jack Hall,Charli Grace 😮,Omg what a sweet dog,Where can I get a corgi ku sweater?,Need an original essay? 🤔 Order here and get a discount! 👇 https:// write-paper-for- me.online/ place-new-order? rt=kyh1QMik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When the pandemic strained supply chains across the country::: a KU Lifelong & Professional Education program answered the call — providing expanded online::: self-paced certifications to meet the need for well-organized warehouses and well-trained maintenance supervisors around the world.  EDWARDSCAMPUS.KU.EDU New online maintenance::: warehouse layout training builds on decades of industry partnerships,2021-11-03 15:29:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best-selling author and whistleblower Cynthia Cooper::: who shed light on one of the largest incidents of accounting fraud in U.S. history::: will deliver the KU School of Business Walter S. Sutton Ethics Lecture on Nov. 10 at KU’s Capitol Federal Hall. https://news.ku.edu/2021/10/25/whistleblower-worldcom-scandal-deliver-2021-sutton-lecture  NEWS.KU.EDU Whistleblower in WorldCom scandal to deliver 2021 Sutton Lecture,2021-11-02 18:00:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is broadband access a human rights issue and a social justice matter? Yes — marginalized communities are being left behind in the digital divide::: according to a new article co-authored by KU’s Edward Scanlon::: associate professor of social welfare.  NEWS.KU.EDU Digital divide as social justice,2021-11-02 16:15:16,There are other options besides cable or land based internet. Why should the government spends tens of thousands of dollars to run lines to a rural home when they can get satellite internet without the cables and without additional infrastructure? Or::: is this a ploy to send more dollars to the cable companies so they can increase their bottom line at taxpayer expense?,The rural electric cooperatives are in the best position to supply this utility service. Granted::: they need some funding to accomplish this. True hardships are on New Mexico reservations where other utilities like running water are missing.,The alma mater has a screwy definition of rights. A thing is not a right if it compels action by another.,Oh my goodness KU are you freaking kidding me???  How is a desire a human right?? It isn't a need and you can live without it. Well it's official I'm done supporting schools.,No. It's a utility. My grandparents didn't have running water when they were children. Wtf is this nonsense?,Ludicrous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Could you explain your cutting-edge research in three minutes? More than 30 KU graduate students will try to do just that — sort of an elevator pitch — in a virtual competition called Three Minute Thesis::: or 3MT. The first heats are Nov. 1-5.  NEWS.KU.EDU KU students to compete in Three Minute Thesis Competition,2021-11-01 19:03:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campus is turning crimson — but we're not feeling blue about it 🍂,2021-11-01 16:15:20,Back in the 50's when I went to K.U. this wonderful structure had noon concerts every day. Do the still do that?,This was my favorite time of year to be on campus.,Awesome picture!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Four KU faculty members have received the 2021 Chancellors Club Teaching Professorships — a geophysics professor and a chemistry professor (Lawrence campus)::: and two health care educators (KU School of Medicine-Wichita and the KU School of Nursing). https://news.ku.edu/2021/10/14/four-educators-receive-chancellors-club-teaching-professorships  NEWS.KU.EDU 4 educators receive Chancellors Club Teaching Professorships,2021-10-29 18:27:00,congratulation from M'sila university https:// www.univ-msila.d z/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birds of a feather ➡️ flock together,2021-10-29 15:25:07,Birds of a Feather ▶️ are flocking outside,Not all Birds are good!,Go Blue!,So is that a flock of rarely seen migrating Jayhawks above Fraser Hall?,Not during football 🏈!😄😆😃😁😀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcides Velasquez::: KU assistant professor of communications::: tells CNN that Hispanics find themselves drawn to TikTok’s visual content because of the importance its online community places on individual identity and social interaction.  CNN.COM How these Latinx TikTok creators are filling a void and making history,2021-10-28 18:24:01,Interesting::: do these people read the TOS agreement defined by TikTok? I just did,Talk in person.,Barbri Public Interest Scholarship Get more at https:// www.helptostudy. com/ barbri-public-in terest-scholars hip/ Application Deadline: Open #helptostudy #Students #USA #University #Scholarships,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chosen as Dean’s Fellows for the 2021-22 academic year::: a group of 13 KU second- and third-year law students will be mentors to their first-year peers. Learn about the fellows::: who help “1Ls” make the rigorous transition into law school.  NEWS LINK: https://news.ku.edu/2021/10/15/new-class-ku-law-deans-fellows-mentor-incoming-law-students""  NEWS.KU.EDU Mentoring new KU Law students",2021-10-28 15:22:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seven Jayhawks — six seniors and one recent graduate — have been nominated by the KU Office of Fellowships for Rhodes and Marshall scholarships::: prestigious awards for graduate study in the United Kingdom. Join us in wishing them the best of luck and a hearty Rock Chalk!  NEWS.KU.EDU KU’s 2021 KU Rhodes::: Marshall nominees,2021-10-27 22:59:04,Congratulations to Free State High alumni Anton Barybin and Laura Phillips! We are Firebird proud of your accomplishments !,Impressive. Rock Chalk,So beautiful and peaceful.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
❤️💙 Let's hear it for the Jayhawk families who show up and shout out for their loved ones. Our hearts are full. 🥰,2021-10-27 15:19:01,Oh my gosh::: Oh my gosh::: O. M. G. We know Celebrities. We want an autograph and even a paper napkins with you::: Ashley and Nathaniel’s autograph. OOOOOhhhhhh I can’t wait::: O. M. G .,NEVER underestimate the power and love of a Band Mom!!! #bandmomsunite,We love Band Moms!!,#welovenatemarti n,#momgoals,Ashley Heather Krueger Martin! ❤️💙❤️,Matt Minear ❤️💙❤️💙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Studio 804::: a yearlong course in KU’s architecture master’s program::: culminated in the ribbon-cutting of a project designed and built entirely by students. This year::: students welcomed community members to Monarch Village. Twelve converted shipping containers provide private accommodations for families served by the Lawrence Community Shelter. This video shows how Studio 804 participants turned steel boxes into something remarkable.,2021-10-26 18:30:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The KU @Spencer Museum of Art's sixth annual Backyard Bash — featuring outdoor installations by KU and Haskell Indian Nations University students — opened recently and will remain on view through Nov. 12 in Marvin Grove::: just west of the museum.  NEWS.KU.EDU Spencer Museum’s Backyard Bash opens Oct. 21,2021-10-26 16:12:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congrats to Javen Betts::: a junior::: and seniors Nikki Brown and Lily Nguyen — they were named the winners of KU’s Excellence in Community::: Education and Leadership (ExCEL) Awards Oct. 16 during halftime of KU’s Homecoming football game.  KUALUMNI.ORG ExCEL Award winners announced,2021-10-25 18:10:03,Congrats Nikki Brown! Amazing!,Congratulations 🎉,Rock Chalk!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
❤️💙 Once a Jayhawk::: always a Jayhawk. Rock Chalk! 📸: Kaliyah Townsend,2021-10-25 15:08:10,Beautiful and smart young lady! <3,Talk about setting a goal!,Love it. Once a Jayhawks always a Jayhawks❤️💙,Her dream came true::: 🎉 congratulations .,How fun!,If you start them young::: they will be Jayhawks for life.,Rock Chalk Jayhawks.😀,Rock Chalk Jawhawk.😀,That is pretty awesome!!,Rock chalk!,Dreams do come true!,Aw,Tony Jorgensen,Jean Marie,💙❤️,🔥,❤️💙,So true We are Kansas!,I love it ! Her dream came true !! Beautiful!,Great pictures,Darling!,Go KU!,So cute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A new three-year $800:::000 grant will help KU’s Project on the History of Black Writing create a new multimedia web platform that will make Black literature and Black writers more accessible and engaging to students::: scholars::: and the public.  NEWS.KU.EDU Black Lit Network planned,2021-10-22 18:15:17,Brian McClendon seems to be a fraud::: he did not develop google earth.,Russia received its statehood from a Moscovia::: Moscovia received its statehood from a Golden Horde. So Russians are mental barbarians and psychological savages.,Russia received its statehood from a Moscovia::: Moscovia received its statehood from a Golden Horde. So Russians are mental barbarians and psychological savages.,Russia received its statehood from a Moscovia::: Moscovia received its statehood from a Golden Horde. So Russians are mental barbarians and psychological savages.,Russia received its statehood from a Moscovia::: Moscovia received its statehood from a Golden Horde. So Russians are mental barbarians and psychological savages.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
📷: Earlier this year::: Claudia Palacios left Peru to study law at KU. Between the Royals hat and the Rock Chalk reppin'::: we think she wears her new home well.,2021-10-22 17:13:12,We love having you here Claudia! #rockchalkglobal jayhawk!,Arriba Peru! RockChalk Jayhawk!,Based on the background::: looks like KU is losing 40-0 in the 3rd quarter and Claudia had seen enough.,LOVE the shirt!!!! Rock Chalk!,I like that shirt! 👍,Oh that shirt is so cute,Russia received its statehood from a Moscovia::: Moscovia received its statehood from a Golden Horde. So Russians are mental barbarians and psychological savages.,Lovely::: the hat too.,Russia received its statehood from a Moscovia::: Moscovia received its statehood from a Golden Horde. So Russians are mental barbarians and psychological savages.,Russia received its statehood from a Moscovia::: Moscovia received its statehood from a Golden Horde. So Russians are mental barbarians and psychological savages.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carving Jay-o’-lanterns? Donning KU-themed costumes? However you're getting into the spooky spirit::: we'd like to see. DM or tag us — we'll share our faves on social. #RockChalk,2021-10-21 21:56:45,Megan McBride Campbell I found Harrison's next Halloween costume.,So good,Russia received its statehood from a Moscovia::: Moscovia received its statehood from a Golden Horde. So Russians are mental barbarians and psychological savages.,Russia received its statehood from a Moscovia::: Moscovia received its statehood from a Golden Horde. So Russians are mental barbarians and psychological savages.,Russia received its statehood from a Moscovia::: Moscovia received its statehood from a Golden Horde. So Russians are mental barbarians and psychological savages.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The road to moving drivers from gasoline- to electric-powered vehicles could be slower and rockier than expected. A KU research review of California data looked at the negative user experiences that are hindering an electric transportation revolution.  NEWS.KU.EDU Who ditched the electric car and why?,2021-10-21 15:07:03,The batteries are to expensive to replace and nearly impossible to dispose of!,Russia received its statehood from a Moscovia::: Moscovia received its statehood from a Golden Horde. So Russians are mental barbarians and psychological savages.,Russia received its statehood from a Moscovia::: Moscovia received its statehood from a Golden Horde. So Russians are mental barbarians and psychological savages.,Russia received its statehood from a Moscovia::: Moscovia received its statehood from a Golden Horde. So Russians are mental barbarians and psychological savages.,"Grid reliability concerns with growth of residential solar in California  CAISO's infamous ""duck curve"" graph and future implications in wholesale power markets  https:// powerandmarkets. substack.com/p/ grid-reliability -concerns-with- growth?r=txak8& utm_campaign=po st&utm_medium=w eb&utm_source",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
