Fall on Penn’s campus::: as ever::: is a majestic spread of gold::: red::: and orange. The beauty highlights the necessity of mitigating climate change. https://bit.ly/3l89lGx,2021-11-26 11:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall on Penn’s campus::: as ever::: is a majestic spread of gold::: red::: and orange. The beauty highlights the necessity of mitigating climate change. https://bit.ly/3l89lGx,2021-11-26 11:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Penn Libraries recently received a gift of more than 150 rare Edward S. Curtis photographic plates::: adding to its extensive collections and enhancing resources for teaching and learning.

GIVING.UPENN.EDU
Worth a Close Look | Inspiring Impact Stories",2021-11-26 15:40:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall on Penn’s campus::: as ever::: is a majestic spread of gold::: red::: and orange. The beauty highlights the necessity of mitigating climate change. https://bit.ly/3l89lGx,2021-11-24 11:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall on Penn’s campus::: as ever::: is a majestic spread of gold::: red::: and orange. The beauty highlights the necessity of mitigating climate change. https://bit.ly/3l89lGx,2021-11-24 11:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A recent gift from Richard Jay Mack::: a 1989 graduate of The Wharton School::: will power the expansion of the Penn Media Accountability Project (PennMAP)::: an interdisciplinary project dedicated to enhancing media transparency and accountability.

GIVING.UPENN.EDU
"Cary Coglianese of the University of Pennsylvania Carey Law School says the seldom-used Congressional Review Act allows Congress to overturn federal rules with a simple majority and prohibit federal agencies from reissuing similar rules without congressional approval.

NBCNEWS.COM
Democrats have a new tool to undo Trump’s ‘midnight rule-making.’ But there’s a catch.",2021-01-16 16:00:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Following a year that saw unprecedented need for digital resources::: the Penn Libraries’ new strategic plan calls for greater emphasis on virtual scholarship and recruitment of top talent to build dynamic resources and tools.

POWEROFPENN.UPENN.EDU
Penn Libraries Proves What’s Possible | Power of Penn Stories",2021-01-15 22:00:06,"https://
www.sciencemag.o
rg/news/2021/
01/
public-use-nazi-
salute-rocks-ar
chaeology-confe
rence

she was interrupted by attendee Robert Schuyler::: an archaeologist at the University of Pennsylvania (UPenn) and SHA president in 1982. Schuyler unmuted himself on Zoom and asked for the floor. He urged members to attend 2022’s in-person meeting in Philadelphia::: then asked how the pandemic had affected SHA’s membership renewal numbers.

“This is not the place for you to bring this up:::” Quinlan responded. Schuyler then raised his voice and said::: “I’m sorry::: but I have freedom of speech and you’re not going to tell me this is not the place for me to bring this up.”

“I am attempting to utilize the position the SHA gave me to speak about important topics [of accessibility and inclusion]:::” Quinlan said.

Schuyler then thrust his arm in the air and said::: “Sieg heil to you.”",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"People who feel independent think that most others are::: too::: according to new research from Cristina Bicchieri and postdoc Abraham Aldama of Penn Arts & Sciences::: in collaboration with PIK Professor Barbara Mellers. These same people also underestimate the level of poverty in the U.S.

PENNTODAY.UPENN.EDU
The link between perceptions of autonomy and global views of income inequality | Penn Today",2021-01-15 19:15:02,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Changing conditions have taken a toll on insects in the tropics::: according to research by Penn Arts & Sciences biologists Daniel Janzen and Winnie Hallwachs. But education and science offer a path forward::: they say.

PENNTODAY.UPENN.EDU
Climate change doesn't spare the smallest | Penn Today",2021-01-15 16:45:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New research::: led by Liang Wu of Penn Arts & Sciences::: could provide an innovative approach for developing devices such as photo detectors and solar cells.

A pair of new studies shows that two related metal alloys can convert light into electric current efficiently thanks to their topology.

PENNTODAY.UPENN.EDU
A new regime for analyzing properties of topological materials | Penn Today",2021-01-15 15:15:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bringing expertise in cutting-edge dental materials::: Yu Zhang joined Penn Dental Medicine's faculty earlier this year. His background in physics and materials science lends him a unique perspective on the field to advance the way dentists restore oral health.

PENNTODAY.UPENN.EDU
Applying physics expertise to making smiles brighter | Penn Today",2021-01-14 19:15:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Scott D. Halpern of the Perelman School of Medicine at the University of Pennsylvania and Jennifer Prah Ruger of the University of Pennsylvania School of Social Policy & Practice have been named Fellows of The Hastings Center for outstanding accomplishments in deepening public understanding of complex ethical issues in health::: health care::: science::: and technology.

PENNTODAY.UPENN.EDU
Two Penn faculty named Hastings Center Fellows | Penn Today",2021-01-14 16:45:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Senior Alex Touche of the Penn Soccer team has signed a professional contract with the New Mexico United of the USL Championship. Playing three seasons on the pitch as a Quaker::: he earned All-Ivy honors in each::: including back-to-back First-Team nods.

PENNTODAY.UPENN.EDU
Senior Alex Touche signs professional contract with New Mexico United | Penn Today",2021-01-14 15:15:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The annual Martin Luther King Jr. Commemorative Symposium will be virtual::: with nearly three weeks of online events. The symposium offers a moment to reflect on King and his legacy::: says Darin Toliver of the African-American Resource Center (AARC).

PENNTODAY.UPENN.EDU
26th annual MLK symposium goes online | Penn Today",2021-01-13 19:15:02,Careful none of your employees use a Nazi salute during this....AGAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A team led by researchers from the Perelman School of Medicine at the University of Pennsylvania finds that medical school curriculums may misrepresent race in classroom discussions::: presentations::: and assessments::: ultimately contributing to the perpetuation of physician bias.

PENNTODAY.UPENN.EDU
How medical schools can transform curriculums to undo racial biases | Penn Today",2021-01-13 16:45:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Penn students are reimagining relationships with a new virtual platform called Magic Connects. It gives them a new way to engage and find new people who share their values::: according to founder Vraj Shroff::: a senior in Penn Engineering from New York City.

PENNTODAY.UPENN.EDU
A new way to connect with like-minded students | Penn Today",2021-01-13 15:15:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"César de la Fuente of Penn Engineering and the Perelman School of Medicine at the University of Pennsylvania is working on a fast::: low-cost::: paper-based test that can detect SARS-CoV-2 within four minutes with nearly 100% accuracy.

PENNTODAY.UPENN.EDU
One step closer to an at-home::: rapid COVID-19 test | Penn Today",2021-01-13 15:15:02,Spencer Webster-Bass,Yes! I've been waiting for our young tech aces to help us with this.,Lester Bass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Penn Dental Medicine recently welcomed its first patients to the new Care Center for Persons with Disabilities::: a facility devoted to serving the needs of people living with physical or intellectual challenges.

POWEROFPENN.UPENN.EDU
Penn Dental Democratizes Care | Power of Penn Stories",2021-01-12 22:22:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The first of 3:::000 undergrads have begun to move into College Houses during an extended eight-day move-in period adhering to pandemic health and safety protocols. They arrive in advance of the Jan. 20 start of classes::: which will continue to be mostly virtual.

PENNTODAY.UPENN.EDU
A Move-in like no other | Penn Today",2021-01-12 19:15:02,Glad they moved first day of class to 1/20. I remember first day used was MLK Day when I was at Penn and had to make the hard choice and celebrating a national hero or falling behind on the crucial first day of class.,If classes are mostly virtual why on campus congregate living? It is a stupid idea. Good luck smh,"Good luck. With professors like this::: I would be wary attending this university....

https://
www.sciencemag.o
rg/news/2021/
01/
public-use-nazi-
salute-rocks-ar
chaeology-confe
rence",Good luck::: what an adventure!,Finally... it is happening. Big breaths,Hello::: I am Wali from Sudan. I want to study at Shake University,Good luck. I fear that there still won't be enough social distancing::: virtual classes or not.,Good Luck... J,Move-in::: pay room and board......to take classes virtually?,Have a great semester!!,Spencer Webster-Bass,Stay safe!!,Caroline Rigsby...like it was yesterday!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Although the shift to telemedicine benefits many patients::: research by the Perelman School of Medicine at the University of Pennsylvania finds significant inequities in access to the technology. These barriers fall along the lines of race::: ethnicity::: socioeconomic status::: age::: and language.

PENNTODAY.UPENN.EDU
Older::: nonwhite patients access telemedicine significantly less among patients overall | Penn Today",2021-01-12 16:45:03,I’d imagine this finding could be addressed as telehealth continus to reach underserved areas (here we can be limited to phone calls),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"César de la Fuente of Penn Engineering and the Perelman School of Medicine at the University of Pennsylvania is working on a fast::: low-cost::: paper-based test that can detect SARS-CoV-2 within four minutes with nearly 100% accuracy.

PENNTODAY.UPENN.EDU
One step closer to an at-home::: rapid COVID-19 test | Penn Today",2021-01-12 15:45:02,What an incredible effort::: good luck!,Amazing! Much luck on your work!,"""For the next pandemic::: we’ll be ready"" God no 😰",William Bryant Ryann Michael Perez,Hooray creativity & inguinity!,so incredible!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We are proud to have 5 seniors of The University of Pennsylvania Band in the CBDNA - College Band Directors National Association Marching Band::: which is comprised of 1500 students from 200 college bands from 45 states and Puerto Rico. Tonight they will perform virtually for the College Football National Championship game halftime show at 10pm!,2021-01-11 21:30:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"With the launch of Penn Cares amidst campus reopening for spring semester::: Penn Today provides additional details on the new testing program::: how eligible members of the Penn community can enroll::: and how the testing procedure works.

PENNTODAY.UPENN.EDU
A how-to guide for COVID-19 testing at Penn | Penn Today",2021-01-11 19:15:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"May graduate Nia Akins has been awarded one of the NCAA's prestigious Today’s Top 10 Awards. She is the first Penn student-athlete and just the 12th Ivy Leaguer to be bestowed the honor.

PENNTODAY.UPENN.EDU
2020 alumna Nia Akins receives NCAA’s Today’s Top 10 Award | Penn Today",2021-01-11 16:45:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"As students return to campus::: Dining Services has adopted measures to support new safety and public health protocols at both residential and retail cafés on campus. The PennEats mobile app is key in Penn Dining’s Spring 2021 plan.

PENNTODAY.UPENN.EDU
Penn Dining spring 2021: Four takeaways | Penn Today",2021-01-11 15:15:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Research led by Perelman School of Medicine at the University of Pennsylvania finds that high rates of COVID-19 in a hospital’s surrounding counties reduce survival rates among hospitalized patients with the virus.

PENNTODAY.UPENN.EDU
Community spread of COVID-19 tied to patient survival rates at area hospitals | Penn Today",2021-01-10 19:00:11,Covid 19 is not a virus. It is a chemical agent bioengineered to behave like a virus. There is no vaccine for it. What is being packaged as a “vaccine” is a biologic agent created using RNA technology. This biologic agent will impair your body’s natural ability to immunomodulate pathogens and disease processes. It is a slow poison.,In minesweeper::: the higher the number on a field::: the higher the chance you hit a mine if you click any of the adjacent squares.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Richard Schwab of the Perelman School of Medicine at the University of Pennsylvania talks with WITF in Harrisburg about sleep disorders::: the importance of sleep to health::: and the role of tongue fat in sleep.

WITF.ORG
Smart Talk: A fat tongue and its affect on sleep | WITF",2021-01-10 16:00:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"More than 500 Indigenous languages are represented in Penn Libraries' cataloged holdings. A survey of highlights reveals some of this extraordinary diversity and suggests the challenges of describing them.

LIBRARY.UPENN.EDU
Diversity in the Stacks: Indigenous Languages::: Indigenous Voices",2021-01-09 19:00:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eugenie St. John Sutton::: a senior in Penn Arts & Sciences from both England and Philadelphia::: shares her experience with Penn Abroad. She studied at the London School of Economics for a year and took courses in Tours::: France.

GLOBAL.UPENN.EDU
Q&A with Eugenie St John Sutton::: CAS '21 | Penn Global",2021-01-09 16:00:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"It’s an ethical question many Penn experts are contemplating. One fact is certain::: they say: Vaccine distribution must not exacerbate disparities and inequities in health care.

PENNTODAY.UPENN.EDU
How can the world allocate COVID-19 vaccines fairly? | Penn Today",2021-01-08 19:15:02,"If we leave it up to the ""experts""::: we'll have about 50% of the population vaccinated by the year 2025. If we listened to the ""experts"" 7 months ago::: we wouldn't have a vaccine to distribute at this time; it would still be in the design stage! Make the vaccine and give it out as fast as possible. We should not waste time listening to ""experts"". Too often::: ""experts"" worry more about perpetuating their own existence::: rather than the common good. Also::: I have very little patience for articles that strategically play games with numbers.",Nancy Adelizzi thinking of you::: hope all is ok ❤️,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A collaborative study co-led by Andrew M. Rappe of Penn Arts & Sciences demonstrates how a class of electroluminescent materials::: key components of devices such as LED lights and solar cells::: can be designed to work more efficiently.

PENNTODAY.UPENN.EDU
New strategies for designing electroluminescent materials | Penn Today",2021-01-08 16:45:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"As the nation processes the unprecedented mob attack on the U.S. Capitol::: many are wondering what happens now for America. University of Pennsylvania Carey Law School scholar Claire Finkelstein shares her thoughts on the siege and its effects on democracy.

PENNTODAY.UPENN.EDU
Capitol attack: Where does American democracy go from here? | Penn Today",2021-01-08 15:15:02,"I am a citizen and resident of Barbados in the Caribbean. I graduated from Penn in 1995 with a PhD in energy management and policy. I stayed on to get some experience in the electric utility sector until 2002 and then moved back to the Caribbean.

I am really confused::: if not ignorant of the ""motivation behind"" the recent events at the Capitol. I would be grateful if someone would take the time to explain.

I am missing something and I don't quite know what it is. I don't even know what questions to ask::: so please respond.

Regards:::

Roland R. Clarke
Barbados",Shocked to see so many supposed “educated” Penn people supporting the false rhetoric and conspiracy theories. What happened to your brains and the ability to think rationally::: with facts in hand.,We can start by using the appropriate description in the headlines: terrorists.,The Communist Party of China and the Ayatollah of Iran both have Twitter accounts which have called for genocide and have never been censored...,Stolen election. Plus::: when BLM literally burned DC and other cities last summer::: you were cool with that?,What a disgrace this school has become. I'll be pulling all of my donations effective immediately and lobbying alumnus friends to follow suit.,God is not going to allow the New World Order::: reducing the population down to 500:::000:::000. The agenda of the Biden and Harris Presidency. God is going to teach the New World Order gang::: the Democrats::: and the media a lesson that will last an eternity.,Where is the American Republic? F@&k democracy!,I hope not.,Buy ammunition where you can still find it.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Final preparations are being readied for undergraduate Move-in to start Jan. 10. Penn Today offers a practical guide to the process.

We've got tips for the two-hour move-in window::: including guest policies::: what to bring::: and what to leave behind::: as well as information on parking::: dining::: and gateway testing.

For up-to-the-minute information::: follow Penn Residential.

PENNTODAY.UPENN.EDU
Move-in spring 2021 primer | Penn Today",2021-01-08 12:30:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A chain reaction led by cells lining the intestines tips the immune system off to the presence of the parasite Cryptosporidium::: according to a study led by researchers in Penn Vet.

PENNTODAY.UPENN.EDU
Gut cells sound the alarm when parasites invade | Penn Today",2021-01-07 16:45:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Most people break New Year’s resolutions within a few weeks. Neuroscientist Vera Ludwig of the Perelman School of Medicine at the University of Pennsylvania offers six tips to move mindfully through this process::: leading to a greater chance for success.

PENNTODAY.UPENN.EDU
Self-awareness can drive behavior change::: reprogram the brain's reward system | Penn Today",2021-01-07 15:15:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"President Gutmann and Provost Pritchett shared their statement on regarding yesterday's assault on the Capitol.

""Nothing is more foundational to American democracy than respect for the peaceful transfer of power. Fueled by the dangerous propagation of falsehoods and disproven allegations::: a mob on Wednesday assaulted this bedrock value of American democracy::: storming our nation’s Capitol in an attempt to block the constitutionally mandated counting of certified electoral votes in our 2020 presidential election.

As citizens::: scholars::: teachers::: and university leaders dedicated to understanding::: defending and strengthening American constitutional democracy::: we join together with everyone who raises their voices and condemns threatening incitements and assaults on the political freedom of all citizens. We also join with our fellow Americans in praising those leaders of all parties who worked through the night to carry on the constitutional mission of recognizing the peaceful transfer of presidential power.

May we now continue to work across divides to strengthen and secure our constitutional democracy.""
-Amy Gutmann::: President
Wendell Pritchett::: Provost

PENNTODAY.UPENN.EDU
Statement regarding the assault on the U.S. Capitol | Penn Today",2021-01-07 13:25:03,Sadly protests by many groups have increased in number and violence in recent years. This is another. Politicians have been increasingly divisive and not working together plus placing negative labels on various groups of Americans. It’s long part time for term limits and I hope they wake up and realize there is a reason protests happen. They aren’t listening and working together for all Americans .,All perpetrators involved in this shameful attack (civilian coup attempt::: you could say) must be put on trial immediately. No one can ever violate the democratic tradition and terrorize the Capitol which is not the property of a certain group of people. Good luck to the citizens of the US on their struggle against racism::: supremacist hate and organized ignorance.,The effects of Neoliberal Capitalist policies that have exacerbated wealth::: income & opportunity inequality during the last forty years::: led to yesterday’s Capitol Hill takeover. Elite Ivy League institutions::: which are “finishing schools” for the children of the Top 1%::: in their never-ending quest to fatten their endowments::: have played a role facilitating the ever-widening gap between the “Haves” and “Have Nots.” THE STORM IS COMING!,Penn: Publicy Denounce Your Seditious President Alum!!,When people are mocked::: ignored and dismissed::: they become upset. Back in June::: when hard working::: but unconnected::: Americans were attacked by the mob::: the Swamp made excuses for the savage behavior. Now a mob has come for the Swamp::: and suddenly::: there is no excuse. The Swamp has some soul searching to do.,Was an unarmed protester killed?,and how about Steve Wynn's rights? or taking his money and removing his name off the Commons is okay? Hypocrits.,Carmen Marranca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best of December 2020: Seniors Cristina Pogorevici::: Paulina Ruta::: and Yixi (Cecilia) Wang and 2019 graduate Annie Sun have received the Schwarzman Scholars Scholarship::: which funds a one-year master’s degree in global affairs at Tsinghua University in Beijing. Originally published on 12/7/20.

PENNTODAY.UPENN.EDU
Penn has four new Schwarzman Scholars | Penn Today",2021-01-06 19:00:11,don't you think we have enough issues sending students to an unstable country as it is?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best of November 2020: Monovision counters the deterioration of the ability to see up close but also causes dramatic visual distortions. New Penn Arts & Sciences research confirms that a solution that successfully works with trial lenses—the special lenses used by eye doctors—also succeeds with contact lenses. Originally published on 11/25/20.

PENNTODAY.UPENN.EDU
One step closer to a clinical fix for the side effects of monovision | Penn Today",2021-01-05 19:00:17,Does this also apply if you wear only one contact? I don't seem to have ever had any vision distortion from wearing only one contact. The article seems to refer to people who wear two contacts -\-\ one for distance and one for up close.,This is so important for so many people!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best of October 2020: Penn Leads the Vote's leaders reflected on a whirlwind of a semester and provided helpful tips for voters. Originally published on 10/27/20.

PENNTODAY.UPENN.EDU
Down to the wire with Penn Leads the Vote | Penn Today",2021-01-04 19:00:09,"https://
www.facebook.com
/
Global-Sustainab
le-Research-Sol
utions-GSRS-100
301308692960/

Like page for all research solutions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best of September 2020: The transformative $50 million gift from the Robert and Jane Toll Foundation will expand Toll Public Interest Scholars and Fellows Program launching hundreds of students into public interest legal careers. Originally published on 9/29/20.

PENNTODAY.UPENN.EDU
Robert and Jane Toll Foundation makes $50 million gift to Penn Law | Penn Today",2021-01-03 19:00:07,"https://
www.facebook.com
/
Global-Sustainab
le-Research-Sol
utions-GSRS-100
301308692960/

Like page for all research solutions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best of August 2020: A report from The Wharton School's Thomas S. Robertson reveals that consumer disappointment with retailers runs deep. Originally published on 8/28/20.

PENNTODAY.UPENN.EDU
Wharton releases new retail study on customer loyalty | Penn Today",2021-01-02 19:00:09,"https://
www.facebook.com
/
Global-Sustainab
le-Research-Sol
utions-GSRS-100
301308692960/

Like page for all research solutions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best of July 2020: During the Summer School at Penn::: University of Pennsylvania Stuart Weitzman School of Design students listened to lectures from world-renowned designers::: had design reviews::: and participated in a design competition to create mobile medical-testing units. Originally published on 7/30/20.

PENNTODAY.UPENN.EDU
Expressions of color::: comfort::: and creativity in the fight against COVID-19 | Penn Today",2021-01-01 19:00:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Be at war with your vices::: at peace with your neighbors::: and let every new year find you a better man."" -Benjamin Franklin

Happy New Year::: Quakers! 🎉 🎉 🎉",2021-01-01 05:01:05,Happy new year!,Happy new year 2021 from Italy 🇮🇹🎄🇮🇹🥂🎉,How many of us sat with and perhaps had our pictures taking with Ben?,Wisdom that transcends,Benjamin Franklin RULES!,Wise words! ❤️,"#HappyNewYear202
1﻿﻿ from france",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best of June 2020: Specialists from across the Penn community discuss the mental health impacts of Black people being subjected to videos of African Americans being killed by the police. Originally published on 6/23/20.

PENNTODAY.UPENN.EDU
Police killings and Black mental health | Penn Today",2020-12-31 19:00:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2020 was a year that changed history—across the world and within our own health system. At Penn Medicine::: the pandemic galvanized our shared mission to serve and to heal::: and taught us new lessons about the power of perseverance.

In a year bookended by moments of hope—starting with celebration of the birth of a child from our first uterus transplant and ending with the roll-out of the COVID-19 vaccine to our workforce—Penn Medicine has never stopped believing.",2020-12-31 16:30:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Earlier this month::: Engaging Minds brought together more than 1:::500 households of Penn alumni::: parents::: and friends to virtually explore the work of some of Penn’s top faculty. Read more in this article and watch the video to hear talks on the power of political protest::: the impact of universal basic income::: and the logistics of distributing a COVID-19 vaccine.

Tags: Penn Arts & Sciences::: University of Pennsylvania School of Social Policy & Practice::: Penn Medicine::: The Wharton School

POWEROFPENN.UPENN.EDU
The Cutting Edge of Knowledge | Power of Penn Stories",2020-12-31 14:00:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best of May 2020: Penn Today talks with Jiaqi Song::: a Penn sophomore::: about navigating online classwork::: personal projects::: and family time. Originally published on 5/28/20.

PENNTODAY.UPENN.EDU
Jiaqi Song on his Roman quarantine | Penn Today",2020-12-30 19:00:10,Brian Kwok Kevin Huang this looks like Bill Cao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The University’s work toward identifying sustainable energy solutions received a major boost this year::: thanks to a recent leadership gift from P. Roy Vagelos::: C’50::: PAR’90::: HON’99::: and Diana T. Vagelos::: PAR’90. Their new pledge of support promises an even greater impact for the Vagelos Laboratory for Energy Science and Technology::: which had its design approved by the Board of Trustees in November and where construction is slated to begin in 2022.

POWEROFPENN.UPENN.EDU
New Commitment Will Drive Energy Solutions | Power of Penn Stories",2020-12-30 14:00:18,"I think Penn and other institutions concerned about energy and environmental consequences of ways of producing energy should do more to decrease their consumption of energy. For example::: I have seen the multiple outdoor electric heat lamps in front of the main entrance of HUP all running full blast while the outdoor temperature was in the 60s. There is a similarly power-hungry bunch of these heat lamps at the main entrance of the Perelman Center for Advanced Medicine. The Inn at Penn hotel also has electric outdoor heat lamps. I think that the percentage of these heat lamps being on should be cut back as outdoor temperature increases past some point::: and at least most of them should be off when the outdoor temperature is in the 60s. Also::: I think that during air conditioning season::: businesses and institutions should allow and encourage men in their offices (and classrooms and lecture halls) to dress with clothing as cooling as clothing that they allow women to wear::: including in the Wharton School. And even if a business or institution only purchases fossil-fuel-fre
e electricity::: if they use less electricity then this means more fossil-fuel-fre
e electricity on the market to displace someone else's use of electricity from fossil fuels. I have noticed that fossil-fuel-pow
ered generators are generally the ones that get cranked up and down in response to changes in demand::: as evidenced by percentages of electricity supply being from non-fossil-fuel
sources being higher in times of the year when demand is lower.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best of April 2020: Essential workers in Penn Vet are caring for livestock::: keeping track of disease::: ensuring product consistency::: and communicating with farmers to ensure that farms can continue providing a reliable food supply for the community. Originally published on 4/29/20.

PENNTODAY.UPENN.EDU
Supporting agriculture and a safe food supply | Penn Today",2020-12-29 19:00:10,Every worker is “essential”,"https://
www.mcall.com/
news/
pennsylvania/
mc-nws-pa-farm-l
ast-harvest-202
10111-lzkxuiu7u
rdkffejowuvf2dw
pm-story.html",Really nice picture,Every PERSON is “essential”. SHAME ON YOU!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2020 saw an inspiring investment in the future of public interest practice at the University of Pennsylvania Carey Law School::: driven by a historic $50 million gift this fall from The Robert and Jane Toll Foundation. The gift will dramatically expand the Toll Public Interest Scholars and Fellows Program::: doubling the number of public interest graduates in the coming decade through a combination of full and partial tuition scholarships.

POWEROFPENN.UPENN.EDU
Building a More Just Society | Power of Penn Stories",2020-12-29 13:45:03,hello guys saki here from pakistan . I have done my MS in (accounting and Finance) from Riphah internatinal university ::: i just lost my job and i am starting freelancing work from home any one who want to hire me for work or any other task i am availabe any time .. i am good in these fields :::virtual assistent ::: data entry job::: finance ::: accounting::: MS office::: product finding etc..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best of March 2020: To help in the ongoing fight against the novel coronavirus::: groups across campus are donating what they can::: from masks and gloves to ventilators. Originally published on 3/30/20.

PENNTODAY.UPENN.EDU
Researchers::: schools answer the call for personal protective equipment and critical supplies | Penn Today",2020-12-28 19:00:09,"University of Pennsylvania dropped the ball: How a U of Penn scientist - Katalin Karikó - shunned by her own school went on to help develop a ground breaking Covid vaccine. https://
www.wired.co.uk/
article/
mrna-coronavirus
-vaccine-pfizer
-biontech?fbcli
d=IwAR0gnTavZac
L3sGeWx6c_hZ4A1
fNU36wz761WLo0S
D4fEON7WYhDWajj
W2U",Ohhh::: do you need some worker::: I am looking for a Job::: I have many ideas to fix this planet but only.visions. I need People to work together. I have a trust to people. I know that they are not able to hurt me because they are good in the deepest part of their soul. I need work and money. I have many ideas and visions. Anyone? And I need distributors for healthy food: grup o Dumon from Spain. You can check details on my profile if you need my business email adress,Thanks for sharing !,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New opportunities for bright international students are on the horizon at The Wharton School::: thanks to a gift made in September from Yuri Milner::: WG’92 and his wife Julia. The Friends of Israel MBA Fund::: created through a $10 million leadership gift::: will cover full tuition costs for more than 60 students over the next decade.

POWEROFPENN.UPENN.EDU
A Firm Commitment | Power of Penn Stories",2020-12-28 14:30:03,#BoycottIsrael,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
