"The service will include remarks by Kaller Roemer '23::: Mayor Mark Freda and Mr. Kam Amirzafari::: as well as an invocation by Rev. Dr. Alison Boden::: performances by Kenneth Grayson::: Dr. Mary Rorro and Eric Schweingruber. and a benediction offered by Khalil Abdullah::: assistant dean for Muslim Life.

Veterans Day Service",2021-11-09 20:26:29,🙏,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Catch the latest episode of Last Week Tonight with John Oliver?

For his final segment::: John Oliver discussed power grids::: electricity and the need for the United States to reach #NetZero by 2050 — with a nod to the Net Zero America project::: led by #PrincetonU faculty Jesse Jenkins::: Erin Mayfield::: Eric Larson and Chris Greig.

Watch the full segment: https://bit.ly/30bOlqQ",2021-11-09 16:37:01,"This is fantastic. Now divest from fossil fuels.
www.divestprinc
eton.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""I hope that I can make an impact::: helping students make bold choices when it comes to selecting a college.""

#CelebrateFirstGen Day with Kelton Chastulik ’21::: a first generation Princeton alumnus giving back to his hometown as a college and career adviser::: encouraging students in his community to #VentureForward.

Read about Kelton's journey to and through Princeton: https://bit.ly/3kfWu4u",2021-11-08 23:20:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"“Your experience as a FLI student or graduate makes your story unique::: valuable and inspiring. You are the expert in your experience — speak and own your truth because others need to hear it!” — Julie Kwong '16

Through performances::: activities and conversations::: #PrincetonU and the campus community #CelebrateFirstGen and encourage first-generation students and alumni to share their stories.

PRINCETON.EDU
Princeton joins national celebration of first-generation college students",2021-11-08 18:00:43,"Our goal is to show the strength and vibrancy of the first-generatio
n and lower-income (FLI) community at Princeton:::” said Khristina Gonzalez:::",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A pop of orange in front of Old Nassau.,2021-11-07 14:42:00,Beautiful! Will walk on campus today after the Chase Regada on the lake.,Great shot!,Used to walk behind the band when I was a child.,Absolutely beautiful,🧡🧡🧡,Nice🥰,Gorgeous 🍂🍁🧡🍁🍂,"What's up with not offering students with disabilities accommodations in Honor Code cases?

https://
projects.dailypr
incetonian.com/
honor-code-inves
tigation-prince
ton-life-after-
accusation/",Beautiful University,So absolutely beautiful,Wonderful,Beautiful 😻,Wonderful 😍,Does anyone know what this particular beautiful building is being able used for or what goes on inside? Thanks.,Beautiful,Beautiful loving you😘😘🇺🇲🇺🇲,Wonderful,So beautiful!,GREAT😍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50 years after running the inaugural TCS New York City Marathon on a whim::: Princeton University XC/Track & Field grad Larry Trachtenberg '76 will do it again on Sunday. He'll be the only person who ran the first-ever #TCSNYCMarathon to run it in 2021: https://t.co/gvI7N1yg69,2021-11-06 17:48:07,Fantastic personal accomplishment.,Would love to join your able scientists for a degree program::: do u have any scholarships for Kenyan students...?,What's his badge number so we can track him in the marathon app?,"https://
www.npr.org/
2021/11/03/
1051068689/
new-york-city-ma
rathon-50th-rac
e?fbclid=IwAR3f
qbQC1OLYi2IwsXp
IMcIgVvkxapFQ_v
at8jyZ2aScKWMNo
_lpV_0jOqg",Very impressive!,👌🏾👏🏾🤝🏾,"Congratulations
!!!","Presumed congratulations
::: sir! Quite an achievement! Rutgers alum says Bravo!","CONGRATULATIONS
!!!",Hooray!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pulitzer Prize-winning poet and professor Paul Muldoon has collaborated with Sir Paul McCartney on one of the season’s big books.

PRINCETON.EDU
Paul Muldoon has collaborated with Paul McCartney on one of the season’s big books",2021-11-05 11:54:01,That's good. I'm bad. I guess,Hello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In regions of Africa wracked by poaching::: people have observed an increased incidence of elephants without their tusks::: which are prized in the wildlife black market. But there has been no direct genetic evidence indicating how this was happening::: or why this trait was occurring exclusively in female elephants — until now.

High Meadows Environmental Institute researchers have now implicated two genes associated with tooth development in mammals to be at the center of the tuskless elephant phenomenon.

PRINCETON.EDU
Princeton scientists identify genes behind tusklessness in African elephants facing poaching pressure",2021-11-04 17:13:07,So happy Princeton is doing this work!,we have a better understanding of how human activity is impacting them:::” said co-first author Shane Campbell-Staton,:/..!!,Christie Longino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""I find that it inspires people when they see someone who looks like themselves on some dimension::: and I'm proud to offer that type of representation."" #PrincetonU alumna and VP of engineering at Google::: Marian Croak '77 is one of the first Black female inventors to be inducted to the Inventors Hall of Fame in its nearly 50-year history.

NPR.ORG
Meet The First 2 Black Women To Be Inducted Into The National Inventors Hall Of Fame",2021-11-03 20:54:01,"Congratulations
Ms Croak!","Wow! '77 back when females of all skin colors were rarely hired into most professional jobs. I am truly impressed!
Yay! You!",Wonderful 🖤🐅🧡,Time data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"To be a Princetonian is to Vote!

Students::: faculty and staff stopped by to show off their support for democracy with Princeton Vote100 and Princeton University Office of the Dean of Undergraduate Students.

In the 2020 election::: New Jersey had the highest youth vote in the country. At Princeton::: the Vote100 initiative helped significantly increase student registration and voting rates last year. Nearly 88% of voting-eligible Princeton students registered and 75% voted on Election Day 2020::: compared with 50% of eligible students who voted in 2016.

Learn more about Vote 100 and how #PrincetonU students are getting out the vote both here in New Jersey and across the country: https://bit.ly/3GKP56N

#ElectionDay",2021-11-02 22:10:03,Bryce Springfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""We have the privilege of living in a democracy where our voice matters. Students need to demonstrate by voting in elections that they value having the right to vote."" — Brian Luntz '24

Through Vote 100::: #PrincetonU students are aiming to have 100% of the undergraduate student body vote in each election they are eligible for. 🗳

PRINCETON.EDU
‘No off years.’ Princetonians encourage college students to be more civically active",2021-11-02 15:10:04,You don’t live in a democracy. You live in a democratic republic.,"Aren't these the clowns that supported the turnip currently in the White House......the brainwashed and dry cleaned generation?!!!!
!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A new study — co-authored by #PrincetonU undergrad Julia Berndtsson '23 — establishes what just might be a planet outside of our own Milky Way galaxy::: 28 million light-years away from Earth.

More on the exciting::: first-time discovery from PBS 👇

PBS.ORG
In a first::: astronomers find a potential planet outside the Milky Way",2021-11-01 16:12:15,Looks like the only way I can travel there is my imagination.,Julian Sánchez,nice news,Bryce Springfield,Neal Wilkinson,Nice lies,the find::: led by Harvard & Smithsonian astrophysicist Rosanne Di Stefano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Have a ghoulishly great Halloween::: #PrincetonU! 🎃

📸: Sue Walsh::: assistant vice president of Annual Giving",2021-10-31 14:00:46,❤️❤️❤️,Beautiful!,Hats off to who carves this pumpkin. What a master piece,Incredible.,"https://
tacticaltechnolo
gy.blogspot.com
/2021/11/
smart-halo.html",Happy Halloween 🎃,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"As the United Nations Climate Change Conference (#COP26) begins this weekend::: #PrincetonU faculty experts weigh in on the conference's 4️⃣ established goals::: why they matter and what to expect out of the biggest climate summit since the Paris Agreement was signed in 2015.

PRINCETON.EDU
As U.N. climate summit nears::: Princeton experts identify priorities going in and global actions going forward",2021-10-30 18:00:19,"Carbon dioxide (CO2) is heavier than air.
https://
en.wikipedia.org
/wiki/
Lake_Nyos_disast
er",“This is a very::: very important meeting for humanity:::” said V. “Ram” Ramaswamy,what do I do and we already missed something important👀😓😴🥰🤔🤹,"https://
www.amazon.com/
dp/B09DTXVLVN
Graduate students and engineers enthusiastic for new knowledge::: do your research. Nuclear Power::: Windmills::: and Solar are green energy systems. But. Conclusion: Eliminating Energy Inequality and Climate Change can improve developing nations’ economies.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#PrincetonU’s endowment returns will continue to support the University’s mission and impact in the world including our commitments to increasing access and affordability::: advancing academic priorities and achieving net-zero carbon emission targets for campus operations.

PRINCETON.EDU
Princeton’s endowment returns continue to support University mission and impact",2021-10-29 16:20:56,"I'm grateful for the terrific work Princeton is doing on net-zero carbon emission targets on campus. But I'm disappointed that we haven't followed the lead of Harvard::: Columbia::: Georgetown::: Middlebury::: and The Ford Foundation in divesting from fossil fuels. If Princeton took seriously its commitment to be ""in the service of all nations:::"" it would have been a leader in fossil fuel divestment.",“This year’s exceptional returns reflect not only strong underlying markets but also the superb work of PRINCO’s outstanding investment team over many years:::” said President Christopher L. Eisgruber,My dream school😍❤️,Make Princeton free.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#TellUsTigers: “As we sat in after-school traffic in Morelia::: México::: my mom used to play CDs of popular Latin American folk music. She shared her favorite boleros and explained how certain art songs became national treasures in their home country. She’d tell me: ‘You should sing these pieces someday.’ I grew up with a deep love for Latin American music and its power to move audiences across México. Whether performed in concert halls or a tiny living room packed with family::: I felt incredibly proud of this rich musical tradition that I shared with my parents and abuelitos. As I grew up studying classical music::: I felt that Latin American folk and popular music was not given enough of a platform. Today::: as a conductor and vocalist::: I’m dedicated to sharing songs and soundscapes from the Latin American canon with orchestral and choral ensembles. While I was a student at #PrincetonU::: I conducted @princetoncamerata in a concert of classical Mexican repertoire; it brought me immense joy to share music I loved since I was a kid with my peers and the community. I also conducted a beloved bolero with the Princeton Glee Club in Mexico City in Feb. 2020. These heartwarming experiences intensified my drive to create spaces for this repertoire to be performed by folks who grew up with these songs::: the way I did::: as well as singers who’d never heard of them before. This fall::: my dream of starting a new choir::: Alegría::: has become a reality with support from Glee Club director Gabriel Crouch and the Glee Club community. Its mission is to perform works by Latinx composers and Latin American folk music arranged for full choir. The piece we’re rehearsing in this video::: ‘Fina Estampa:::’ is an Afro-Peruvian waltz written by Chabuca Granda. It tells the story of an animated sidewalk that awakens from the splendor of a beautiful person strolling by.” — Mariana Corichi Gómez ’21::: choral & Trenton Arts at Princeton associate. Video by Kirsten Pardo ’24. Hear Alegría’s debut performance 7:30 p.m. Oct. 29 in Richardson Auditorium (and livestream) at the Glee Club’s free “Hand in Hand” concert with Harvard & Yale to benefit Save The Music::: a nonprofit focused on equity in music education.,2021-10-28 21:13:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""It left me in awe at the end of the day. It was just extraordinary.” — 2021 Nobel Laureate and #PrincetonU professor David MacMillan

What some might call ""speed dating for scientists:::"" the Princeton Catalysis Initiative Symposium brings together faculty::: displaying their pioneering research::: with corporate leaders in order to create new synergies and projects.

PRINCETON.EDU
Turning 'gee-whiz ideas' into reality at Nobel Laureate Dave MacMillan's latest PCI Symposium",2021-10-28 17:00:36,“There was something different about this year. I thought the first three years we held this symposium were strong::: but this one blew them away:::” said MacMillan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Happy Birthday to the Best Old Place of All!,2021-10-27 13:30:20,Happy Birthday!!,Happy Birthday,Wow and I was there for my son's graduation on the 250th,Happy Birthday 🎊🎂🎈🎁,Happy Birthday!! 🎂🧡💐🐯,Love PU HAPPY BIRTHDAY💕💕,Thank you for letting us create the BEST balloon display for you!!! 🎈🎈🎈,Happy birthday::: I have been there 1999.,Happy Birthday,Clau D Rincon Espinoza,Stay,❤❤❤,"Princeton vs. Hayfork | California High School Volleyball
Eagles @ Timberjacks
LIVE ON : http://
stonertv.sports-
field.net/
hs.php
The Hayfork (CA) varsity volleyball team has a home playoff match vs. Princeton (CA) on Today::: October 27 @ 6p.
This match is a part of the ""NSCIF Volleyball 21-22 - D7 Volleyball"" tournament.",Madison walked those halls (among a few others) !,Does Princeton remember its Scottish origins?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#NationalPumpkinDay — but make it Princeton. 🧡🖤

📸: Sameer Khan",2021-10-26 14:00:46,This is a Sameer stan post.,May the great pumpkin smile upon you today!,That is smashing! And it makes sense because everyone knows that Princeton is the seed to a world class education.,Is Princeton still a Presbyterian College?,🐆🧡🧡🧡,Love PU. I hope all those pumpkins make it into the cooking pot::: compost or wildlife feeders and not the landfill. Zero waste.,Cute! How about oil and gas divestment? Or do you really imagine climate change isn't happening?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""I am proud of Princeton’s teaching::: research and commitment to service. I like seeing our quality recognized. Rankings::: however::: are a misleading way to assess colleges and universities.""

President Eisgruber encourages taking a different approach to analyzing higher education institutions.

WASHINGTONPOST.COM
Opinion | I lead America’s top-ranked university. Here’s why these rankings are a problem.",2021-10-25 17:54:07,"Customer Review Based rankings!! ""Received my degree 15 years ago. Amazingly durable. Very impressive. Extremely fast (4 years). Very easy name to slide into resumes::: interviews::: casual conversations. It has the features of a more expensive university at a great price. By far an amazing deal. Highly recommend. Would do again if given the chance. A+ (on a pre-grade inflation or B.S.E. scale)"".....",The idea of picking one as “best:::” as though educational programs competed like athletic teams::: is bizarre,Amen.,The rankings are indeed silly because every college offers a different experience. Prospective students and parents should try to pick one that fits their individual needs instead of just looking at rankings. On second thought::: don't look at the rankings at all.,thank you President Eisgruber for speaking out. The US news & World Report arms race needs to stop. A Consumer Reports type of scorecard sounds better.,Rebecca Seidel michael wrote an op-ed 🥸,Stop moaning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Happy Birthday::: Princeton!,2021-10-22 16:01:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
So::: who has their outfit picked out for tomorrow's Orange and Black Day in celebration of Princeton's 275th birthday?,2021-10-21 20:16:25,I totally do!,🖤🐅🖤,Me 🙋‍♂️🙋‍♂️🙋‍♂️,Too bad one cannot comment with a photo here,Happy birthday Princeton University,Abby Breitfeld have you picked yours out yet?,Was planning to but… tomorrow I am a Team Rubicon Greyshirt!!! 🙂,"https://
www.fiverr.com/
share/Ad3lN5",Amee Reyes Patterson’s,"Anyone interested in helping me in paper work
Will pay 25 an hour ..Thanks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Follow your passion. If you have a passion::: go for it. Don’t let anybody stop you.""

Philomina Kane '17 took her clothing line KIN Apparel to Shark Tank and made a deal with two of the show's multimillionaire investors — turning her dream into reality. (via Black Enterprise)

BLACKENTERPRISE.COM
Meet the 26-Year-Old Natural Hair Hoodie Line Owner Who Landed a Deal On Shark Tank",2021-10-21 15:54:10,😘😘😘,Congratulations,Traditional hoodies are made with cotton and cotton absorbs the moisture in your hair::: leaving it dry::: frizzy:::” she said.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Alban continues to inspire me — and generations of cervantistas and comparatists — each and every day ... Much of who I am as a scholar::: teacher and professional::: I owe to him."" — Marsha Collins *83

#PrincetonU remembers Alban Forcione '60 *68::: an internationally renowned scholar of 17th-century literature of “Golden Age” Spain and the Walter S. Carpenter Jr.::: Professor of Language::: Literature and Civilization of Spain::: Emeritus.

PRINCETON.EDU
Alban Forcione::: ‘unequalled interpreter of Don Quixote’ and ‘infinitely generous mentor:::’ dies at 82",2021-10-20 18:00:50,Professor Forcione was a great Cervantes scholar::: with several books published on the author of ‘Don Quixote’ and ‘Persiles:::’” said Pedro Meira Monteiro,My Princeton classmate.,Brian Long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"What will our world look like if global temperatures rise 3 degrees Celsius?

Researchers at #PrincetonU::: Climate Central::: Potsdam Institute for Climate Impact Research and Columbia University in the City of New York display a dark future. (via The Verge)

THEVERGE.COM
See how climate change could drown landmarks around the world",2021-10-18 15:50:29,“Sea level rise is threatening not just our heritage::: but also our future:::” Anders Levermann,Here's some of the other tougher numbers: EU claims it will achieve making renewables 32% of total energy in 2030::: that EV production will be cheaper than fossil fuel car production in 3 years::: that fossil fuel cars will be banned by 2035. Perhaps the USA needs a little more modesty. I have Ameren Missouri's numbers: it will hit the 2021 target for making renewable 15% of energy used for the entire service area. The point is that we agree to view the middle of the century peacefully together. In other words::: the year 2050.,"https://
www.amazon.com/
dp/B09DTXVLVN
Graduate students and engineers enthusiastic for new knowledge::: do your research. Nuclear Power::: Windmills::: and Solar are green energy systems. But. Conclusion: Eliminating Energy Inequality and Climate Change can improve developing nations’ economies.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""It’s like a dream come true for a nonfiction filmmaker. It was also a nightmare.""

The Academy-winning filmmakers Elizabeth Chai Vasarhelyi '00 and her husband Jimmy Chin finished a documentary about the 2018 effort to rescue a soccer team from a Thailand cave ... and then received 87 additional hours of footage.

More on the dream/nightmare scenario from The New York Times 👇

NYTIMES.COM
Their Thai Cave Rescue Film Was Done. Then 87 Hours of Footage Arrived.",2021-10-17 00:57:00,"For those that the NYT ban from reading the whole article::: read in it's entirety here
(the NYT limits views):

https://
goodwordnews.com
/
their-film-thai-
cave-rescue-was
-over-then-87-h
ours-of-recordi
ng-arrived/",Elizabeth-a dream come true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Just because you win a #NobelPrize in chemistry doesn't mean subgroup is cancelled!

More on professor David MacMillan's win and the campus community's celebration: https://bit.ly/2Yq48Sl

📸: MacMillan Lab Group",2021-10-16 18:10:01,I assure all of the concerned people on this thread that Dave definitely did not add (Nobel laureate) to his signature in Comic Sans,Dear Nobel Laureate::: don't use Comic Sans if you want to be taken seriously 🙄,Maybe change the font on Nobel laureate...,He/him,Somebody is pranking us. I bet you a thousand dollars it’s not real. I’m going back to bed.’ And I did go back to sleep!” said MacMillan,All the more do it - attendance will be guaranteed,Nassiba Baimatova 😅,😆👌,so Boston oh it is New Jersey what new font,Linnéa I love that it’s in pink comic sans,we create a Whatsapp group,We are not coming 😅,Fardeen Kibria,Apoorva Babbar😂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
